bin_center,ratio,ratio_err,variable
2.85,0.685495,0.039717,$\theta_{pq}$
2.95,0.742906,0.041419,$\theta_{pq}$
3.05,0.762547,0.041512,$\theta_{pq}$
3.15,0.752575,0.042475,$\theta_{pq}$
3.25,0.78949,0.04461,$\theta_{pq}$
3.35,0.774705,0.045639,$\theta_{pq}$
3.45,0.729081,0.046875,$\theta_{pq}$
3.55,0.766766,0.050713,$\theta_{pq}$
3.65,0.782465,0.055997,$\theta_{pq}$
3.75,0.68659,0.058603,$\theta_{pq}$
3.85,0.721355,0.066357,$\theta_{pq}$
3.95,0.782199,0.077802,$\theta_{pq}$
4.05,0.737964,0.086533,$\theta_{pq}$
4.15,0.735002,0.105141,$\theta_{pq}$
4.25,0.802117,0.136792,$\theta_{pq}$
4.35,0.925635,0.182423,$\theta_{pq}$
0.035,0.975118,0.209634,$p_T$
0.045,1.137937,0.163086,$p_T$
0.055,0.940114,0.124431,$p_T$
0.065,1.017491,0.103536,$p_T$
0.075,0.959196,0.091786,$p_T$
0.085,0.976372,0.078606,$p_T$
0.095,0.85153,0.06868,$p_T$
0.105,0.720067,0.059312,$p_T$
0.115,0.812533,0.055995,$p_T$
0.125,0.778334,0.052188,$p_T$
0.135,0.791909,0.05043,$p_T$
0.145,0.849032,0.048643,$p_T$
0.155,0.717222,0.044809,$p_T$
0.165,0.851286,0.045462,$p_T$
0.175,0.788413,0.042579,$p_T$
0.185,0.815274,0.042629,$p_T$
0.195,0.692383,0.038354,$p_T$
0.205,0.861028,0.041289,$p_T$
0.215,0.724029,0.038036,$p_T$
0.225,0.717905,0.03797,$p_T$
0.235,0.748895,0.037977,$p_T$
0.245,0.697203,0.037811,$p_T$
0.255,0.687171,0.038525,$p_T$
0.265,0.743864,0.039936,$p_T$
0.275,0.736924,0.041365,$p_T$
0.285,0.827606,0.044639,$p_T$
0.295,0.772449,0.046386,$p_T$
0.305,0.681022,0.046537,$p_T$
0.315,0.813506,0.052014,$p_T$
0.325,0.774931,0.056726,$p_T$
0.335,0.685282,0.059845,$p_T$
0.345,0.782561,0.068066,$p_T$
0.355,0.783649,0.079313,$p_T$
0.365,0.796506,0.086727,$p_T$
0.375,0.766429,0.101031,$p_T$
0.385,0.824457,0.115908,$p_T$
0.395,0.989915,0.143705,$p_T$
0.405,0.473722,0.150632,$p_T$
0.415,0.430498,0.16585,$p_T$
0.425,0.593369,0.240388,$p_T$
1.7453,1.505641,0.187088,$\phi_{pq}$
1.8451,0.861691,0.117861,$\phi_{pq}$
1.9448,1.066298,0.094775,$\phi_{pq}$
2.0445,0.961038,0.075124,$\phi_{pq}$
2.1443,0.879598,0.062251,$\phi_{pq}$
2.244,0.785795,0.054425,$\phi_{pq}$
2.3437,0.744675,0.047015,$\phi_{pq}$
2.4435,0.703897,0.043207,$\phi_{pq}$
2.5432,0.707668,0.03994,$\phi_{pq}$
2.6429,0.759589,0.039635,$\phi_{pq}$
2.7427,0.758209,0.038833,$\phi_{pq}$
2.8424,0.672924,0.036213,$\phi_{pq}$
2.9421,0.693086,0.037059,$\phi_{pq}$
3.0419,0.718304,0.036955,$\phi_{pq}$
3.1416,0.723018,0.036772,$\phi_{pq}$
3.2413,0.703069,0.036281,$\phi_{pq}$
3.3411,0.74516,0.037576,$\phi_{pq}$
3.4408,0.695425,0.036462,$\phi_{pq}$
3.5405,0.776529,0.037391,$\phi_{pq}$
3.6403,0.731236,0.036692,$\phi_{pq}$
3.74,0.754953,0.037819,$\phi_{pq}$
3.8397,0.742349,0.039055,$\phi_{pq}$
3.9395,0.808354,0.042083,$\phi_{pq}$
4.0392,0.764217,0.045209,$\phi_{pq}$
4.1389,0.91342,0.052507,$\phi_{pq}$
4.2387,0.868819,0.062212,$\phi_{pq}$
4.3384,0.837731,0.075643,$\phi_{pq}$
4.4381,1.057891,0.104856,$\phi_{pq}$
4.5379,1.567447,0.162582,$\phi_{pq}$
