bin_center,ratio,ratio_err,variable,pt_bin_center
1.8451,0.808064,0.083524,$\phi_{pq}$,0.05
1.9448,0.908248,0.080199,$\phi_{pq}$,0.05
2.0445,0.8866,0.073995,$\phi_{pq}$,0.05
2.1443,0.848727,0.069363,$\phi_{pq}$,0.05
2.244,0.788547,0.06254,$\phi_{pq}$,0.05
2.3437,0.853996,0.059491,$\phi_{pq}$,0.05
2.4435,0.778563,0.055291,$\phi_{pq}$,0.05
2.5432,0.839911,0.054239,$\phi_{pq}$,0.05
2.6429,0.806194,0.052289,$\phi_{pq}$,0.05
2.7427,0.799577,0.049954,$\phi_{pq}$,0.05
2.8424,0.683639,0.047101,$\phi_{pq}$,0.05
2.9421,0.742352,0.045954,$\phi_{pq}$,0.05
3.0419,0.781621,0.047371,$\phi_{pq}$,0.05
3.1416,0.6548,0.04423,$\phi_{pq}$,0.05
3.2413,0.745671,0.044439,$\phi_{pq}$,0.05
3.3411,0.810073,0.047126,$\phi_{pq}$,0.05
3.4408,0.719277,0.047222,$\phi_{pq}$,0.05
3.5405,0.728601,0.048266,$\phi_{pq}$,0.05
3.6403,0.8035,0.048821,$\phi_{pq}$,0.05
3.74,0.830062,0.053051,$\phi_{pq}$,0.05
3.8397,0.78358,0.053713,$\phi_{pq}$,0.05
3.9395,0.780235,0.057029,$\phi_{pq}$,0.05
4.0392,0.796909,0.06067,$\phi_{pq}$,0.05
4.1389,0.81075,0.065068,$\phi_{pq}$,0.05
4.2387,0.853982,0.072963,$\phi_{pq}$,0.05
4.3384,0.922657,0.081829,$\phi_{pq}$,0.05
4.4381,0.851271,0.08449,$\phi_{pq}$,0.05
4.5379,0.768188,0.089486,$\phi_{pq}$,0.05
4.6376,0.976769,0.106853,$\phi_{pq}$,0.05
4.7373,1.011909,0.126486,$\phi_{pq}$,0.05
4.8371,1.060453,0.135195,$\phi_{pq}$,0.05
4.9368,1.3053,0.163505,$\phi_{pq}$,0.05
5.0365,1.333179,0.187614,$\phi_{pq}$,0.05
5.1363,1.092788,0.2211,$\phi_{pq}$,0.05
5.236,1.218725,0.2171,$\phi_{pq}$,0.05
0.325,1.168447,0.068307,z,0.15
0.335,0.835646,0.029829,z,0.15
0.345,0.83167,0.023554,z,0.15
0.355,0.769105,0.021257,z,0.15
0.365,0.724034,0.020235,z,0.15
0.375,0.701207,0.019915,z,0.15
0.385,0.72017,0.02016,z,0.15
0.395,0.695253,0.020032,z,0.15
0.405,0.709327,0.020483,z,0.15
0.415,0.702061,0.02094,z,0.15
0.425,0.71861,0.021992,z,0.15
0.435,0.631,0.021582,z,0.15
0.445,0.62825,0.024494,z,0.15
0.455,0.630544,0.030855,z,0.15
0.465,0.485155,0.040681,z,0.15
0.475,0.055187,0.072154,z,0.15
1.85,0.690102,0.095552,$\theta_{pq}$,0.15
1.95,0.762759,0.054988,$\theta_{pq}$,0.15
2.05,0.73855,0.043295,$\theta_{pq}$,0.15
2.15,0.711102,0.035543,$\theta_{pq}$,0.15
2.25,0.707813,0.030971,$\theta_{pq}$,0.15
2.35,0.698421,0.0283,$\theta_{pq}$,0.15
2.45,0.729984,0.026586,$\theta_{pq}$,0.15
2.55,0.753269,0.02689,$\theta_{pq}$,0.15
2.65,0.729954,0.026105,$\theta_{pq}$,0.15
2.75,0.762804,0.02624,$\theta_{pq}$,0.15
2.85,0.732905,0.0261,$\theta_{pq}$,0.15
2.95,0.70441,0.025733,$\theta_{pq}$,0.15
3.05,0.713457,0.02583,$\theta_{pq}$,0.15
3.15,0.692103,0.025661,$\theta_{pq}$,0.15
3.25,0.754034,0.026548,$\theta_{pq}$,0.15
3.35,0.682606,0.02574,$\theta_{pq}$,0.15
3.45,0.672605,0.027046,$\theta_{pq}$,0.15
3.55,0.727402,0.02757,$\theta_{pq}$,0.15
3.65,0.747298,0.030154,$\theta_{pq}$,0.15
3.75,0.719037,0.031959,$\theta_{pq}$,0.15
3.85,0.706872,0.035172,$\theta_{pq}$,0.15
3.95,0.771299,0.040269,$\theta_{pq}$,0.15
4.05,0.813469,0.045336,$\theta_{pq}$,0.15
4.15,0.734286,0.050892,$\theta_{pq}$,0.15
4.25,0.698178,0.05871,$\theta_{pq}$,0.15
4.35,0.889413,0.072857,$\theta_{pq}$,0.15
4.45,0.756339,0.086165,$\theta_{pq}$,0.15
4.55,1.008228,0.124505,$\theta_{pq}$,0.15
4.65,0.972595,0.166041,$\theta_{pq}$,0.15
4.75,0.561522,0.232112,$\theta_{pq}$,0.15
0.105,0.787965,0.019616,$p_T$,0.15
0.115,0.734743,0.018686,$p_T$,0.15
0.125,0.735601,0.01855,$p_T$,0.15
0.135,0.730235,0.018098,$p_T$,0.15
0.145,0.726776,0.018349,$p_T$,0.15
0.155,0.733643,0.018558,$p_T$,0.15
0.165,0.659111,0.018679,$p_T$,0.15
0.175,0.704876,0.020123,$p_T$,0.15
0.185,0.748848,0.021968,$p_T$,0.15
0.195,0.689906,0.023618,$p_T$,0.15
0.6483,0.343557,0.233712,$\phi_{pq}$,0.15
0.748,0.281123,0.228608,$\phi_{pq}$,0.15
0.8477,0.339247,0.22147,$\phi_{pq}$,0.15
0.9475,0.539842,0.235381,$\phi_{pq}$,0.15
1.3464,1.111881,0.183434,$\phi_{pq}$,0.15
1.4461,1.231956,0.15054,$\phi_{pq}$,0.15
1.5459,0.988792,0.108491,$\phi_{pq}$,0.15
1.6456,0.929934,0.083163,$\phi_{pq}$,0.15
1.7453,0.86909,0.069442,$\phi_{pq}$,0.15
1.8451,0.801937,0.057742,$\phi_{pq}$,0.15
1.9448,0.810564,0.048638,$\phi_{pq}$,0.15
2.0445,0.756024,0.044709,$\phi_{pq}$,0.15
2.1443,0.742316,0.039478,$\phi_{pq}$,0.15
2.244,0.781931,0.037145,$\phi_{pq}$,0.15
2.3437,0.694829,0.034707,$\phi_{pq}$,0.15
2.4435,0.658563,0.031641,$\phi_{pq}$,0.15
2.5432,0.682493,0.031631,$\phi_{pq}$,0.15
2.6429,0.676365,0.030175,$\phi_{pq}$,0.15
2.7427,0.642668,0.02912,$\phi_{pq}$,0.15
2.8424,0.696783,0.02921,$\phi_{pq}$,0.15
2.9421,0.606239,0.027526,$\phi_{pq}$,0.15
3.0419,0.68588,0.028195,$\phi_{pq}$,0.15
3.1416,0.674215,0.027761,$\phi_{pq}$,0.15
3.2413,0.664702,0.026947,$\phi_{pq}$,0.15
3.3411,0.684601,0.027398,$\phi_{pq}$,0.15
3.4408,0.749085,0.028508,$\phi_{pq}$,0.15
3.5405,0.665204,0.027469,$\phi_{pq}$,0.15
3.6403,0.725687,0.029244,$\phi_{pq}$,0.15
3.74,0.722915,0.02969,$\phi_{pq}$,0.15
3.8397,0.742346,0.031161,$\phi_{pq}$,0.15
3.9395,0.74673,0.032567,$\phi_{pq}$,0.15
4.0392,0.762703,0.033569,$\phi_{pq}$,0.15
4.1389,0.755152,0.03665,$\phi_{pq}$,0.15
4.2387,0.777671,0.0399,$\phi_{pq}$,0.15
4.3384,0.80408,0.044724,$\phi_{pq}$,0.15
4.4381,0.908217,0.051352,$\phi_{pq}$,0.15
4.5379,0.919794,0.062328,$\phi_{pq}$,0.15
4.6376,0.847347,0.076521,$\phi_{pq}$,0.15
4.7373,0.905067,0.090156,$\phi_{pq}$,0.15
4.8371,1.148143,0.124473,$\phi_{pq}$,0.15
4.9368,1.303975,0.175578,$\phi_{pq}$,0.15
5.0365,1.422364,0.215815,$\phi_{pq}$,0.15
5.1363,0.65716,0.231196,$\phi_{pq}$,0.15
5.3357,0.242208,0.192312,$\phi_{pq}$,0.15
5.4355,0.315793,0.212063,$\phi_{pq}$,0.15
5.5352,0.392545,0.227422,$\phi_{pq}$,0.15
5.7347,0.35602,0.208408,$\phi_{pq}$,0.15
5.9341,0.126529,0.235453,$\phi_{pq}$,0.15
6.1336,0.341228,0.230944,$\phi_{pq}$,0.15
6.2333,0.25667,0.226477,$\phi_{pq}$,0.15
0.325,0.979831,0.225821,z,0.25
0.335,0.955416,0.111021,z,0.25
0.345,0.841183,0.080644,z,0.25
0.355,0.871007,0.067837,z,0.25
0.365,0.870363,0.061057,z,0.25
0.375,0.765771,0.054633,z,0.25
0.385,0.779066,0.05081,z,0.25
0.395,0.702542,0.044561,z,0.25
0.405,0.714782,0.042274,z,0.25
0.415,0.757328,0.038051,z,0.25
0.425,0.613376,0.035565,z,0.25
0.435,0.644641,0.033962,z,0.25
0.445,0.507503,0.038423,z,0.25
0.455,0.433077,0.054285,z,0.25
0.465,0.549624,0.10018,z,0.25
3.65,0.541461,0.110445,$\theta_{pq}$,0.25
3.75,0.552275,0.064011,$\theta_{pq}$,0.25
3.85,0.697814,0.061659,$\theta_{pq}$,0.25
3.95,0.588402,0.050266,$\theta_{pq}$,0.25
4.05,0.733706,0.046734,$\theta_{pq}$,0.25
4.15,0.729101,0.044834,$\theta_{pq}$,0.25
4.25,0.656411,0.045009,$\theta_{pq}$,0.25
4.35,0.635495,0.043591,$\theta_{pq}$,0.25
4.45,0.702958,0.048442,$\theta_{pq}$,0.25
4.55,0.676709,0.047688,$\theta_{pq}$,0.25
4.65,0.710287,0.052233,$\theta_{pq}$,0.25
4.75,0.784497,0.06066,$\theta_{pq}$,0.25
4.85,0.827365,0.064709,$\theta_{pq}$,0.25
4.95,0.791606,0.070965,$\theta_{pq}$,0.25
5.05,0.827333,0.081952,$\theta_{pq}$,0.25
5.15,0.787766,0.091748,$\theta_{pq}$,0.25
5.25,0.939072,0.100756,$\theta_{pq}$,0.25
5.35,0.676415,0.117771,$\theta_{pq}$,0.25
5.45,0.8393,0.142581,$\theta_{pq}$,0.25
5.55,0.955748,0.146334,$\theta_{pq}$,0.25
5.65,0.55926,0.172815,$\theta_{pq}$,0.25
5.75,0.730212,0.184466,$\theta_{pq}$,0.25
5.85,1.156861,0.236355,$\theta_{pq}$,0.25
5.95,0.745482,0.200901,$\theta_{pq}$,0.25
6.05,0.5636,0.216837,$\theta_{pq}$,0.25
6.15,0.677712,0.212297,$\theta_{pq}$,0.25
6.25,0.358435,0.212532,$\theta_{pq}$,0.25
6.35,0.644532,0.211682,$\theta_{pq}$,0.25
6.95,0.130207,0.239478,$\theta_{pq}$,0.25
0.205,0.72213,0.025855,$p_T$,0.25
0.215,0.719531,0.028868,$p_T$,0.25
0.225,0.76418,0.033878,$p_T$,0.25
0.235,0.670642,0.038778,$p_T$,0.25
0.245,0.704938,0.046834,$p_T$,0.25
0.255,0.748487,0.055155,$p_T$,0.25
0.265,0.639596,0.063591,$p_T$,0.25
0.275,0.566118,0.075047,$p_T$,0.25
0.285,0.60339,0.09828,$p_T$,0.25
0.295,0.444167,0.102723,$p_T$,0.25
1.8451,1.197359,0.225739,$\phi_{pq}$,0.25
1.9448,1.020918,0.154499,$\phi_{pq}$,0.25
2.0445,1.042041,0.127108,$\phi_{pq}$,0.25
2.1443,0.662167,0.093636,$\phi_{pq}$,0.25
2.244,0.853884,0.091953,$\phi_{pq}$,0.25
2.3437,0.89878,0.085369,$\phi_{pq}$,0.25
2.4435,0.737711,0.071261,$\phi_{pq}$,0.25
2.5432,0.656696,0.069354,$\phi_{pq}$,0.25
2.6429,0.654902,0.067661,$\phi_{pq}$,0.25
2.7427,0.48184,0.058799,$\phi_{pq}$,0.25
2.8424,0.652173,0.060602,$\phi_{pq}$,0.25
2.9421,0.55863,0.060495,$\phi_{pq}$,0.25
3.0419,0.616864,0.06311,$\phi_{pq}$,0.25
3.1416,0.453084,0.054845,$\phi_{pq}$,0.25
3.2413,0.548229,0.060959,$\phi_{pq}$,0.25
3.3411,0.565928,0.055511,$\phi_{pq}$,0.25
3.4408,0.521179,0.053318,$\phi_{pq}$,0.25
3.5405,0.606732,0.055747,$\phi_{pq}$,0.25
3.6403,0.586006,0.053424,$\phi_{pq}$,0.25
3.74,0.556876,0.05053,$\phi_{pq}$,0.25
3.8397,0.668585,0.057615,$\phi_{pq}$,0.25
3.9395,0.71912,0.060633,$\phi_{pq}$,0.25
4.0392,0.736727,0.061701,$\phi_{pq}$,0.25
4.1389,0.808046,0.067395,$\phi_{pq}$,0.25
4.2387,0.861008,0.076251,$\phi_{pq}$,0.25
4.3384,0.781262,0.083609,$\phi_{pq}$,0.25
4.4381,0.936675,0.108801,$\phi_{pq}$,0.25
4.5379,1.319018,0.159409,$\phi_{pq}$,0.25
4.6376,1.185997,0.191781,$\phi_{pq}$,0.25
4.7373,1.029475,0.24492,$\phi_{pq}$,0.25
0.335,0.583037,0.181715,z,0.35
0.345,0.426355,0.148842,z,0.35
0.355,0.468399,0.172218,z,0.35
0.305,0.61968,0.118239,$p_T$,0.35
0.315,0.640706,0.167118,$p_T$,0.35
0.325,0.714026,0.171746,$p_T$,0.35
0.335,0.788438,0.249905,$p_T$,0.35
2.7427,0.349981,0.179557,$\phi_{pq}$,0.35
2.8424,0.298302,0.146426,$\phi_{pq}$,0.35
2.9421,0.354073,0.187688,$\phi_{pq}$,0.35
3.1416,0.261005,0.158868,$\phi_{pq}$,0.35
3.2413,0.115762,0.094663,$\phi_{pq}$,0.35
3.3411,0.228827,0.135429,$\phi_{pq}$,0.35
3.4408,0.056818,0.144717,$\phi_{pq}$,0.35
3.6403,0.333351,0.181701,$\phi_{pq}$,0.35
3.74,0.366967,0.220482,$\phi_{pq}$,0.35
3.8397,0.228369,0.184306,$\phi_{pq}$,0.35
