run,mean,std_dev,amplitude,nevents
24364,7.55886,3.95583,17.13686,855
24365,7.05529,4.14680,18.57924,950
24366,7.32026,3.97026,18.92373,944
24367,7.14417,3.72438,16.98853,797
24368,7.21812,3.72121,19.93274,949
24369,7.32808,3.69656,18.25858,860
24370,7.10578,3.93831,17.65194,874
24371,7.30005,4.06289,19.25405,966
24372,7.19837,4.02727,15.17380,754
24376,7.27411,4.18002,20.45401,1067
24377,7.40854,3.94496,32.13161,1609
24378,7.83504,4.20489,26.10188,1366
24379,7.51119,3.73681,34.17040,1646
24380,7.51392,4.04412,32.33612,1652
24381,7.45954,3.91776,34.03728,1705
24382,7.72810,4.05062,34.77763,1769
24383,7.63938,3.80034,36.02974,1770
24384,7.37274,3.62172,17.84036,831
24385,7.86540,4.23536,13.14448,697
24386,7.44342,3.84648,45.11679,2212
24387,7.56173,3.77163,38.87853,1883
24388,7.74965,3.99694,42.79620,2166
24389,7.79357,3.82303,32.98141,1606
24390,7.50700,3.68128,36.46825,1727
24396,7.87809,3.84313,39.00632,1917
24397,7.57804,4.06984,36.18599,1862
24398,7.77103,4.06582,23.39520,1195
24399,7.22811,2.93949,13.85049,542
24400,7.49180,4.04465,20.29864,1036
24401,7.44147,4.43593,20.41008,1113
24402,7.66357,4.45036,27.93674,1520
24404,7.62202,4.19905,34.89288,1835
24405,7.31612,4.01624,16.50491,828
24406,7.27250,4.55765,25.09751,1393
24407,7.45840,4.54788,24.84556,1387
24408,7.36221,4.42691,25.79789,1409
24409,7.92272,4.67366,23.49280,1331
24410,7.64455,4.28376,23.92614,1272
24411,7.29470,4.16400,13.53151,695
24412,7.13196,3.66793,18.01248,849
24413,7.14764,3.90430,17.63591,864
24414,7.51323,3.86979,19.58078,957
24415,7.18822,3.51225,4.67955,214
24416,8.14193,4.13091,28.46597,1467
24417,7.84760,4.04320,35.75498,1816
24418,7.58774,4.14985,34.46320,1796
24419,7.78980,4.07992,32.02341,1639
24421,7.99624,3.51074,5.59783,245
24422,7.52470,3.52338,22.86985,1051
24423,7.24511,3.36872,17.92248,805
24424,7.69039,3.88020,37.06723,1826
24425,7.92493,4.07359,36.92773,1909
24426,7.52247,3.69230,24.96248,1184
24427,7.55202,3.39433,13.46627,585
24428,7.38668,3.65928,17.49435,832
24429,7.75357,3.79967,18.45820,905
24430,7.22303,3.74571,16.62859,807
24431,7.41967,3.58173,18.40607,868
24432,7.51014,3.62021,16.97791,801
24433,7.28222,3.59206,21.86761,1014
24434,7.34526,3.76891,18.50070,891
24435,7.86214,3.44139,19.52508,879
24436,7.31196,3.67870,19.58972,938
24437,7.27760,3.63822,19.35688,923
24442,7.38869,3.30333,22.62615,987
24443,7.76172,4.05257,18.64430,958
24444,7.48672,3.63416,18.90678,889
24445,7.49475,3.09204,3.80057,154
24446,7.27170,3.25216,10.88734,484
24447,7.31467,3.68054,17.63322,845
24448,7.54702,3.83484,7.10394,346
24449,7.52436,3.72468,19.65361,953
24450,7.56007,4.15084,18.80864,986
24451,7.70371,3.63155,19.91691,930
24452,7.52854,3.69713,21.02825,1014
24453,7.71052,3.85092,19.82045,960
24454,7.63044,2.93755,11.84287,468
24460,7.09161,3.89673,14.03295,691
24461,7.50493,3.60814,4.30814,207
24463,7.24179,3.59145,11.81285,564
24464,7.67259,3.82720,14.18922,695
24469,7.51453,3.48166,17.77772,822
24470,7.89940,4.13507,14.94482,773
24471,7.53699,3.53727,18.96927,863
24472,7.75409,4.30734,9.32442,499
24473,7.63815,3.15300,5.71505,236
24474,7.28805,3.27748,22.57154,987
24475,7.72476,3.65668,18.83898,878
24476,7.41901,3.61890,18.34347,846
24477,7.46428,3.39738,17.35404,787
24478,7.99884,4.06440,18.55595,940
24479,7.61669,3.77762,16.59338,788
24480,7.26093,3.18004,8.45876,349
24485,7.38452,3.58609,9.35767,436
24486,7.80722,3.93749,11.72363,580
24487,8.12260,3.86697,11.69524,577
24488,7.41342,3.57714,10.56669,487
24489,7.39455,3.90468,9.56092,467
24490,7.12178,3.36275,12.49732,553
24491,7.79243,3.90434,9.87977,489
24492,7.38778,3.70062,10.49804,503
24493,7.22278,3.43498,13.08813,588
24494,7.55329,3.61993,11.77368,548
24499,7.81788,3.73083,14.54997,685
24500,7.46007,3.77636,14.66155,716
24501,7.78816,4.05352,14.70328,747
24502,7.56798,3.78510,19.02069,932
24503,7.42600,3.94493,18.63519,934
24504,7.64412,3.90453,16.90856,841
24505,7.67271,3.87908,17.85611,874
24506,7.70567,3.90840,19.00799,933
24507,7.76801,3.86465,16.82023,828
24508,7.74170,3.75512,13.26340,629
24509,7.40163,3.50274,19.43552,897
24510,7.70588,3.73458,17.72985,847
24511,7.73079,3.79770,19.40725,943
24512,7.39039,3.63406,10.00887,469
24513,7.38591,3.82324,12.76984,634
24514,7.77282,3.87628,14.79208,732
24515,7.66950,4.07599,14.02048,706
24516,7.68639,3.66919,16.57151,795
24517,7.05525,3.26778,12.28522,543
24521,7.47420,3.60909,17.26128,798
24522,7.68070,3.53560,18.19398,839
24523,7.33390,3.29236,15.21096,661
24524,7.59493,3.60999,16.32426,752
24525,8.02253,3.35795,7.80820,338
24526,7.56575,3.68296,14.68048,693
24527,7.06237,3.72450,14.68749,712
24528,7.54808,3.89055,11.95314,592
24529,7.57378,3.94683,15.83952,778
24530,7.90599,4.39407,13.22496,723
24531,7.27940,3.45914,15.04071,688
24532,7.59207,3.73620,14.73411,714
24533,7.46200,3.66911,15.64591,731
24534,7.39044,4.12356,14.43269,748
24535,7.60540,3.58840,15.17082,711
24536,5.76818,2.09592,0.71114,24
24543,7.50264,3.26825,0.25146,11
24547,7.54971,3.24916,0.30802,14
24550,9.06588,4.25037,0.37178,19
24553,7.97444,4.59035,2.83130,161
24554,7.05965,4.81669,2.55263,143
24555,6.49544,6.92169,0.63162,44
24556,7.96651,4.68118,2.99725,169
24557,7.51213,4.25603,2.85994,150
24558,7.57634,4.35387,3.91275,215
24559,7.39690,3.84784,4.17617,204
24560,7.71485,4.50136,3.50537,189
24561,8.46847,3.81055,4.57553,220
24562,6.91719,4.71856,3.84776,214
24563,9.99597,3.72338,0.54953,25
24564,7.07748,3.73021,2.94419,145
24566,7.90145,4.64646,3.04690,169
24567,6.75959,4.71527,2.67337,150
24568,7.40109,2.85355,2.12832,83
24569,7.92681,3.54394,1.32416,61
24570,6.78229,4.05132,4.68933,235
24572,-493.79182,-59.50429,-0.00004,4
24574,9.04614,-2.84425,0.27062,11
24576,19.70145,0.02507,1.00000,2
24578,-78.85400,-9.79394,-2.62760,7
24580,-29.36147,-3.96566,-0.54034,4
24582,9.22364,2.68776,1.40949,52
24583,11.63626,3.82205,0.71516,33
24584,8.43381,3.53241,1.09339,53
24585,10.44023,4.83862,0.35384,20
24587,10.57226,3.80436,0.39649,18
24588,10.19952,4.91147,1.16972,68
24589,8.23253,2.91345,4.26481,166
24590,8.54509,3.03886,3.93950,165
24591,8.71001,3.56504,4.32038,206
24592,8.96849,3.13363,3.69043,163
24593,8.91780,4.48267,2.51545,143
24594,9.45309,3.31976,3.73557,168
24595,9.82192,3.27282,2.38664,102
24596,8.82206,2.76700,5.07788,190
24597,8.98206,2.56119,5.43843,203
24598,8.36914,3.14775,4.62445,201
24599,9.00338,3.83638,4.15570,201
24600,9.47018,4.51669,3.36585,184
24601,7.56329,3.98294,3.71248,186
24602,7.79201,3.97871,4.82843,242
24603,7.47946,4.75738,4.75160,273
24604,7.69059,4.84320,4.39145,251
24605,7.09769,4.08799,6.45179,335
24606,7.51002,4.40346,4.28836,232
24607,6.79775,3.66294,3.72488,173
24608,6.79770,4.02255,2.99790,153
24609,7.55481,4.62364,3.24983,180
24610,8.15140,3.92468,3.81325,187
24611,7.12334,3.63173,7.86563,365
24612,7.61184,3.91891,76.23347,3788
24613,7.25558,3.76780,75.15033,3684
24614,7.55156,3.97934,71.84233,3616
24615,7.65460,3.98734,71.89560,3625
24616,7.87374,4.09731,70.21102,3609
24617,7.52558,3.87006,75.48928,3730
24618,7.57994,4.17158,63.70196,3330
24619,7.70438,3.73804,18.12213,870
24620,7.44517,2.99427,3.76459,151
24621,7.66974,3.59359,46.54644,2167
24622,7.58731,3.51172,22.91157,1015
24627,7.67247,3.50611,36.90182,1668
24628,7.63609,3.75718,30.79582,1478
24629,7.46813,3.54366,40.84781,1885
24630,7.90090,3.88399,33.81083,1646
24631,7.46918,3.53231,47.77362,2206
24632,7.71502,3.64154,46.60427,2202
24633,7.68652,3.65257,13.48619,635
24634,7.50745,3.61333,43.73566,2039
24635,7.58676,3.39707,29.38877,1283
24636,7.10072,3.05667,20.29138,826
24641,7.54022,3.36558,17.21843,746
24642,7.49582,3.45685,23.28145,1033
24643,7.51387,3.47347,17.60894,780
24646,7.34207,3.82115,50.01180,2446
24647,7.63089,3.80112,50.25732,2433
24648,7.38622,3.77436,42.68055,2076
24649,7.71634,3.87817,45.65609,2244
24650,7.42066,3.98768,46.26084,2319
24651,7.63447,3.46197,22.59285,997
24654,7.40378,4.13474,28.33862,1476
24655,7.46087,3.64520,33.22709,1545
24656,7.43218,4.32245,29.99662,1591
24657,7.06283,3.94668,29.21871,1449
24658,7.55730,4.10585,29.58673,1514
24659,7.52987,4.13947,32.45067,1668
24660,7.41138,4.08360,19.20808,973
24661,7.39915,4.32040,27.59800,1473
24662,7.20323,3.61276,34.37625,1606
24666,7.75685,3.98613,98.70431,4979
24667,7.70572,3.92271,66.14321,3321
24668,7.77720,4.08110,75.32894,3858
24669,7.74870,3.96636,79.06750,3966
24670,7.60735,4.00177,68.59549,3464
24671,7.65438,4.12008,69.83413,3622
24672,7.43821,3.67152,66.35229,3132
24673,7.55466,3.61475,26.33031,1209
24674,7.82594,3.88724,67.18707,3320
24675,7.64613,3.60947,56.24060,2613
24676,7.59342,3.67086,47.34532,2219
24677,7.65860,3.86857,49.17401,2406
24678,7.50655,3.50050,48.94288,2233
24679,7.45749,3.54629,46.90721,2165
24680,7.78638,3.68366,64.26177,3008
24681,7.63852,3.45786,41.05882,1822
24682,7.58538,3.30429,18.27247,765
