run,mean,std_dev,amplitude,nevents,chi2,ndf,chi2_ndf
23989,9.42171301064164,1.7540662304042516,11.57357976490778,350,27.580745634629775,24,1.1491977347762405
23990,9.117078307162219,1.536019280069316,6.12510667198884,169,38.569385873176074,24,1.6070577447156698
23991,8.762028930161383,1.833221012844337,2.481359208495337,76,14.942682654296174,21,0.7115563168712464
23992,8.929717706560668,1.8618856376300403,10.563160618213256,349,65.13703892257017,26,2.5052707277911606
23993,9.1271901510744,1.7139961604679854,16.3852858850293,486,66.55422174217753,25,2.6621688696871013
23994,8.916302221769957,1.7630286226151162,15.615096120212613,472,96.51747588555247,25,3.860699035422099
23995,9.135930671015656,1.996106087338426,10.414913973393082,340,71.52313481357547,27,2.649004993095388
23996,9.642980666653616,1.7450394289204296,9.198690191829801,273,23.650243943810164,25,0.9460097577524066
23998,8.93122499690523,1.7705912768393741,5.5795911776340255,174,26.835554246759052,26,1.032136701798425
23999,8.956204803813709,1.8261862314214905,7.187254249305749,207,40.136030471572525,24,1.6723346029821886
24001,9.180093957068669,1.9100047067872405,11.050751754488774,365,46.49824898263057,28,1.6606517493796633
24002,8.880554178548827,1.6134620802727664,12.702094904182708,365,56.334119378444925,24,2.347254974101872
24003,9.277862715227805,1.9096180864848504,10.833437756026186,347,24.033897423830883,27,0.8901443490307734
24004,9.258515801921343,1.5856565361607509,7.293741585724719,207,24.04518926032039,24,1.001882885846683
24005,8.637081146873985,1.5878823818624155,9.265494429798313,263,14.221331916269902,23,0.6183187789682566
24006,9.51382595400847,1.9582034971933746,7.752567180866543,250,29.528812623731046,28,1.0546004508475373
24007,9.011475543016399,1.5858263748948673,9.10403821048113,248,28.60073878864762,24,1.1916974495269843
24008,9.728971526912629,2.113713867348821,1.7424969417887755,57,11.213640237639169,21,0.533982868459008
24009,9.018022198790735,1.834393175425653,10.437126341521404,322,43.63941257287032,27,1.6162745397359377
24010,8.863540164832997,1.7599410626425938,10.23121707037454,314,31.759519526191934,28,1.1342685545068547
24011,9.252174690352005,1.7462408242263063,10.767237904827207,336,58.809181177961946,26,2.2618915837677673
24012,8.935148102603343,1.7850669337307712,9.999716152161922,311,30.875110776842554,26,1.1875042606477906
24013,8.3311548283418,1.8365205084598637,11.666946946104844,363,60.178347627609284,25,2.4071339051043714
24014,8.634735199175795,1.9043149297342323,11.601607268455801,363,47.38029146633731,26,1.822318902551435
24015,9.212218221619514,1.6805888275078222,7.574006498895375,233,26.009474467775128,25,1.0403789787110052
24016,9.583652944276967,1.4812442346887273,4.085777279098594,106,28.045904126793925,18,1.5581057848218847
24019,8.665561818856292,1.793493428252293,12.211514702311588,367,43.808240017229274,25,1.7523296006891709
24020,8.836897681808153,1.6896988719485455,13.612406091975691,383,41.50882091229201,24,1.7295342046788338
24021,8.842503652100765,1.8255054951156537,13.147119718029968,397,29.11681497822144,26,1.1198774991623632
24022,8.742591624826094,1.9135734959665078,12.473748494430367,408,35.0141370988357,27,1.2968198925494703
24023,8.818630701243261,1.2520515444225464,2.2919267425716905,56,7.261729042770719,14,0.51869493162648
24024,8.739156395719647,1.5134903582177917,10.51761460686517,280,33.55072578238047,22,1.5250329901082031
24026,8.90915232293735,1.6383795897929612,5.712720492774678,173,35.00058133523013,23,1.521764405879571
24032,9.006157684020003,1.6398836969223087,7.955505400866747,225,33.26941312152999,24,1.3862255467304163
24039,9.070639421880838,1.8163635070991888,1.6255002415080306,46,9.556571247406984,19,0.5029774340740518
24040,9.236905157229055,1.5127780390447556,8.224421229692998,231,20.65262433514401,25,0.8261049734057605
24041,8.90802238454081,1.6437814768867225,10.314820371081028,303,31.079863243122777,26,1.195379355504722
24042,9.123725078998865,1.478895638447354,10.888314342368574,302,23.87263699624508,25,0.9549054798498032
24043,8.608770520132246,1.6926164621239719,5.833907756686773,172,36.581378315445384,27,1.3548658635350141
24047,8.81257673212142,2.035573125067378,7.881114694598706,269,38.5921606359267,29,1.3307641598595414
24048,8.787909196392233,1.9764819892515197,7.561844655322474,242,32.652704069799505,28,1.1661680024928394
24049,9.004971859629938,1.6359094311809645,9.63291124282824,290,25.788672782241182,25,1.0315469112896474
24050,8.838859213380738,1.5563368573296938,9.330504994603778,270,31.64238006828598,24,1.3184325028452493
24051,9.19208919600832,1.8206943934965756,7.644974039661091,235,27.60792460518738,27,1.022515726118051
24054,8.922344647095915,1.4475452067254777,13.390435954241283,353,61.27949596872625,21,2.918071236606012
24055,8.93556712480731,1.877527390452309,11.276041155899275,355,27.799313556672494,27,1.029604205802685
24056,8.929442474976486,1.9475354305181376,11.677536767348654,380,50.155373923972924,28,1.7912633544276044
24057,9.274172706570466,1.8526897925192063,10.085764838928696,318,21.703266874686612,26,0.8347410336417928
24058,8.698056039584442,1.7906905290580386,6.344432631850393,202,31.332826342253263,29,1.0804422876639057
24059,9.300331194652784,1.6697271756265892,3.8676458961403593,109,24.855658955250043,22,1.1298026797840928
24060,9.55836950309309,1.576802171629796,12.53322649954809,360,31.341334442842903,25,1.2536533777137162
24061,8.575528806506442,1.8188267734654737,12.663561128805576,414,57.639100089840966,28,2.0585392889228915
24062,9.150897911698165,1.6473871649089498,14.291396408913853,408,30.242946501437164,25,1.2097178600574865
24063,8.86623085953924,1.7219845993391554,11.410663069178149,353,65.14599044145191,25,2.6058396176580767
24064,8.756016983247147,1.7698954902759532,8.53700590821447,264,31.13645054559139,25,1.2454580218236557
24065,8.169524436486057,1.700470828349044,6.875551719246046,202,58.590260204187466,26,2.2534715463149024
24066,9.349872743952838,1.7013001699785693,5.158164911699935,168,15.176537039983986,25,0.6070614815993595
24067,8.884539459554128,1.539454810675581,10.435824765843053,297,25.168581797796957,25,1.0067432719118783
24068,8.91288530346928,1.7987134454160996,10.551559243475815,319,33.92558447751468,26,1.3048301722121032
24069,8.993879504539207,1.464869059233297,15.077238401876318,397,25.306253179679928,24,1.054427215819997
24070,9.139446378401798,1.806474360538666,5.44859455883772,176,28.095324452987693,26,1.0805894020379883
