polarity,ebeam,x,Q2,z,thpq,H_cer_mean,H_cer_std,H_cer_err,P_hgcer_mean,P_hgcer_std,P_hgcer_err,P_aero_mean,P_aero_std,P_aero_err
-1,10.6716,0.25,3.3,0.9,-0.8,9.000700539032207,0.05949634530985211,0.006836890184703999,22.02331144096872,1.8622597472183993,0.03161600009929012,8.660669773718288,0.2689798420473703,0.016141299145795405
-1,10.6716,0.25,3.3,0.36,2.0,8.983845951210961,0.11402705231344241,0.015983964581652202,6.432568979280835,0.20467338612096272,0.0236842645929205,7.381006736126095,0.26545592282754465,0.02955387682317362
-1,10.6716,0.25,3.3,0.5,2.0,8.96889984746743,0.05262036591383638,0.0030724143493170335,10.267773509536529,0.45573878967816545,0.007509949679551224,7.6844498355891435,0.19240012310884944,0.005969263087457757
-1,10.6716,0.25,3.3,0.67,2.0,9.006837228515431,0.0612065086543124,0.005325469825874149,15.383324886264177,0.6903909261901267,0.014077659183176649,7.799345134764365,0.17929634386423754,0.009771991166726819
-1,10.6716,0.25,3.3,0.9,2.0,8.957683078579695,0.12368039787972905,0.011482161345342735,17.234554957073474,0.526860576353016,0.028030079606023654,7.872397011169917,0.19685022241649766,0.020419943568602387
-1,10.6716,0.25,3.3,0.5,5.2,8.987729096282802,0.07008843631055164,0.008875431802700591,9.206649461565833,0.11709653110496446,0.016400396568531508,7.41534669384751,0.08907561915045352,0.014862913677275411
-1,10.6716,0.25,3.3,0.5,8.5,8.945661381438075,0.06473304300868521,0.011218046468259576,8.773456296544262,0.14167941973519382,0.018162365766319574,7.272283753768496,0.0962026963683767,0.01788772971569577
1,10.6716,0.25,3.3,0.36,2.0,8.995910711551815,0.18147462919344198,0.014329642937181428,6.114147405074358,0.18436406804141375,0.022988802843007517,6.608278801071234,0.22036619164179674,0.02794545687302108
1,10.6716,0.25,3.3,0.5,2.0,8.977423012542701,0.04749472278083572,0.0038806247613989635,9.443428896135774,0.21891212982402397,0.010056720648704894,6.814592555809248,0.17386880524718173,0.00795484223794551
1,10.6716,0.25,3.3,0.67,2.0,8.985008382522704,0.05367621433098476,0.003911718423909369,14.337678898687773,0.32052744224086316,0.013242384212688427,6.78147846300148,0.15047118721625735,0.008419394861212577
1,10.6716,0.25,3.3,0.9,2.0,8.982076484391179,0.06923564931707178,0.005524184524165093,15.561843085166158,0.17716080662610031,0.016280124273943052,7.202613003058511,0.1212738726809149,0.00981335134912706
1,10.6716,0.25,3.3,0.5,5.2,9.003803326020076,0.05062152253159372,0.003977031181871094,9.034681076151411,0.15610592853734684,0.009462103038455365,6.721745172835037,0.10879854134253718,0.00791633415295203
1,10.6716,0.25,3.3,0.5,8.5,8.964065492331821,0.05270940376091362,0.008947941479386648,8.48980894980449,0.10216950572490423,0.018202027985423093,6.677129885053851,0.11122713242854922,0.01556570895819441
