bin_center,ratio,ratio_err,variable,pt_bin_center
0.265,0.672959,0.017622,$p_T$,0.24
0.275,0.69481,0.018987,$p_T$,0.24
0.285,0.730306,0.021279,$p_T$,0.24
0.295,0.74984,0.023728,$p_T$,0.24
0.305,0.798443,0.027428,$p_T$,0.24
0.315,0.773728,0.03024,$p_T$,0.24
1.3464,1.227011,0.186498,$\phi_{pq}$,0.24
1.4461,1.130267,0.111731,$\phi_{pq}$,0.24
1.5459,0.985486,0.079444,$\phi_{pq}$,0.24
1.6456,0.706987,0.054621,$\phi_{pq}$,0.24    
1.7453,0.760151,0.043794,$\phi_{pq}$,0.24
1.8451,0.824829,0.037098,$\phi_{pq}$,0.24   
1.9448,0.759273,0.031417,$\phi_{pq}$,0.24
2.0445,0.687865,0.02653,$\phi_{pq}$,0.24
2.1443,0.670604,0.023529,$\phi_{pq}$,0.24
2.244,0.623549,0.021912,$\phi_{pq}$,0.24
2.3437,0.633418,0.020872,$\phi_{pq}$,0.24
2.4435,0.63991,0.019761,$\phi_{pq}$,0.24
2.5432,0.613516,0.019271,$\phi_{pq}$,0.24
2.6429,0.663199,0.019273,$\phi_{pq}$,0.24
2.7427,0.617207,0.018927,$\phi_{pq}$,0.24
2.8424,0.654911,0.018236,$\phi_{pq}$,0.24
2.9421,0.633834,0.017932,$\phi_{pq}$,0.24
3.0419,0.67244,0.018264,$\phi_{pq}$,0.24
3.1416,0.633081,0.01763,$\phi_{pq}$,0.24
3.2413,0.643563,0.017491,$\phi_{pq}$,0.24
3.3411,0.665323,0.017742,$\phi_{pq}$,0.24    
3.4408,0.638409,0.017599,$\phi_{pq}$,0.24
3.5405,0.662774,0.01784,$\phi_{pq}$,0.24
3.6403,0.669217,0.018202,$\phi_{pq}$,0.24
3.74,0.706431,0.018908,$\phi_{pq}$,0.24
3.8397,0.684542,0.018929,$\phi_{pq}$,0.24
3.9395,0.665719,0.01911,$\phi_{pq}$,0.24
4.0392,0.673693,0.020219,$\phi_{pq}$,0.24
4.1389,0.675811,0.020844,$\phi_{pq}$,0.24
4.2387,0.751227,0.024256,$\phi_{pq}$,0.24
4.3384,0.706223,0.02577,$\phi_{pq}$,0.24
4.4381,0.803496,0.03232,$\phi_{pq}$,0.24
4.5379,0.879742,0.039105,$\phi_{pq}$,0.24
4.6376,0.852582,0.048446,$\phi_{pq}$,0.24
4.7373,1.052228,0.072114,$\phi_{pq}$,0.24
4.8371,1.03881,0.09728,$\phi_{pq}$,0.24
4.9368,1.593373,0.196246,$\phi_{pq}$,0.24
0.505,1.769601,0.246668,z,0.40
0.515,1.655421,0.206238,z,0.40
0.525,1.170122,0.148305,z,0.40
0.535,1.223976,0.129037,z,0.40
0.545,1.120566,0.107128,z,0.40
0.555,1.01197,0.08822,z,0.40
0.565,0.839379,0.070254,z,0.40
0.575,0.910139,0.065779,z,0.40
0.585,0.862945,0.061105,z,0.40
0.595,0.659525,0.048623,z,0.40
0.605,0.632469,0.04441,z,0.40
0.615,0.545607,0.055069,z,0.40
0.625,0.456499,0.073756,z,0.40
0.635,0.365647,0.102236,z,0.40
0.645,0.875314,0.21313,z,0.40
0.655,0.10095,0.206212,z,0.40
4.15,0.35842,0.13235,$\theta_{pq}$,0.40
4.25,0.499908,0.073554,$\theta_{pq}$,0.40
4.35,0.660706,0.06209,$\theta_{pq}$,0.40
4.45,0.668089,0.05283,$\theta_{pq}$,0.40
4.55,0.786588,0.056835,$\theta_{pq}$,0.40
4.65,0.78585,0.05582,$\theta_{pq}$,0.40
4.75,0.660073,0.052254,$\theta_{pq}$,0.40
4.85,0.680063,0.060646,$\theta_{pq}$,0.40
4.95,0.909029,0.072992,$\theta_{pq}$,0.40
5.05,0.781067,0.077457,$\theta_{pq}$,0.40
5.15,0.989174,0.107228,$\theta_{pq}$,0.40
5.25,0.889932,0.118908,$\theta_{pq}$,0.40
5.35,1.400318,0.167906,$\theta_{pq}$,0.40
5.45,1.807265,0.24384,$\theta_{pq}$,0.40 
0.325,0.840772,0.03691,$p_T$,0.40
0.335,0.806685,0.041583,$p_T$,0.40
0.345,0.905395,0.05611,$p_T$,0.40
0.355,0.816367,0.059143,$p_T$,0.40
0.365,0.910214,0.077702,$p_T$,0.40
0.375,1.051206,0.112437,$p_T$,0.40
0.385,1.259597,0.158226,$p_T$,0.40
0.395,1.072477,0.200436,$p_T$,0.40
2.244,1.184275,0.164841,$\phi_{pq}$,0.40
2.3437,0.930955,0.129888,$\phi_{pq}$,0.40
2.4435,0.926603,0.121982,$\phi_{pq}$,0.40
2.5432,0.983272,0.119814,$\phi_{pq}$,0.40
2.6429,0.885409,0.115878,$\phi_{pq}$,0.40
2.7427,0.850681,0.124602,$\phi_{pq}$,0.40
2.8424,0.792514,0.109895,$\phi_{pq}$,0.40
2.9421,0.667861,0.10555,$\phi_{pq}$,0.40
3.0419,0.805573,0.109383,$\phi_{pq}$,0.40
3.1416,0.749118,0.115046,$\phi_{pq}$,0.40
3.2413,0.714278,0.097296,$\phi_{pq}$,0.40
3.3411,0.631608,0.080877,$\phi_{pq}$,0.40
3.4408,0.572801,0.084124,$\phi_{pq}$,0.40
3.5405,0.549611,0.079464,$\phi_{pq}$,0.40
3.6403,0.779119,0.090394,$\phi_{pq}$,0.40
3.74,0.642289,0.070755,$\phi_{pq}$,0.40
3.8397,0.707665,0.075819,$\phi_{pq}$,0.40
3.9395,0.871499,0.080765,$\phi_{pq}$,0.40
4.0392,0.882343,0.07654,$\phi_{pq}$,0.40
4.1389,0.934225,0.083261,$\phi_{pq}$,0.40
4.2387,0.887603,0.098695,$\phi_{pq}$,0.40
4.3384,1.068094,0.121198,$\phi_{pq}$,0.40
4.4381,1.011338,0.163523,$\phi_{pq}$,0.40
4.5379,1.282722,0.2442,$\phi_{pq}$,0.40
