run,pmt,nevents,calibration_constant,calibration_error,chi2,chi2_ndf
23982,4,271,6.635605314137034,0.758784099510941,63.997865188665045,0.8311411063462993
23983,1,2048,8.91083192824329,0.37398901445355537,87.72529007666239,1.139289481515096
23983,2,7298,6.895134676567956,0.24688678034194633,257.90230414170617,3.3493805732689115
23983,3,4497,5.329147390157793,0.1342314272946403,465.90330992087013,6.050692336634677
23983,4,1525,7.367675740590435,0.5116829447530203,130.10532045591592,1.6896794864404665
23984,1,1249,4.105135873399423,0.12344348694123124,828236.5555026566,10756.318902631903
23984,2,4016,6.821204689244004,0.19444496773793896,154.21322578983705,2.00276916610178
23984,3,2616,4.917655187673252,0.18884226310031488,27075.872098887503,351.63470258295456
23984,4,818,7.185193141864256,0.5575217920762037,79.85255686839571,1.0370461930960482
23985,1,1298,3.8486820659825645,0.09752383160942989,1852666.3015709666,24060.60131910346
23985,2,3862,6.674236715743558,0.245460309512472,319.68821485899707,4.151794998168793
23985,3,2243,4.909452887394037,0.16470767853465312,1118.6646038823949,14.5281117387324
23985,4,787,6.873363800066201,0.5493270939533723,78.15041521288292,1.0149404573101677
23986,1,1217,3.9562570366643106,0.12073783178642117,74488.58065360086,967.3841643324787
23986,2,3679,6.874129740719409,0.2299115085307271,152.75133963006505,1.9837836315592863
23986,3,2015,4.97111217990491,0.18507802023097686,12425.331065064445,161.36793590992787
23986,4,687,6.745125072165369,0.5559993824007265,148.4851938750856,1.9283791412348779
23987,1,1065,3.841130699646435,0.14557948642564453,188919222.48693287,2453496.3959341934
23987,2,3295,6.681601960727756,0.3025134975970094,260.5369106354038,3.383596242018231
23987,3,1944,4.670779594892982,0.15683920223412623,16106.918995467242,209.18076617489925
23987,4,648,7.202256978244848,0.730804358631665,96.3138513035777,1.2508292377088013
23988,1,1224,3.999942025521309,0.09769707512065433,66178610739499.88,859462477136.362
23988,2,3572,6.989826413656358,0.29762893535367474,188.9297544082928,2.4536331741336728
23988,3,2025,4.774795095083721,0.18485010671892343,178.11476195658219,2.3131787267088595
23988,4,686,6.525726512737944,0.5329056811658412,79.13596795750593,1.027739843603973
23989,1,1534,4.784807489868874,0.19627825876416022,279435011.9575527,3629026.129318866
23989,2,4579,7.0312222943939515,0.2559744750919513,399.0986980791613,5.183099975054043
23989,3,2624,5.126391696380704,0.18013491106728022,209.19982195814626,2.7168808046512503
23989,4,903,7.366943201970697,0.47271405148239615,160.66233514433662,2.0865238330433327
23990,1,932,3.7525740902866422,0.12341553430457247,41.63167982435763,0.5406711665500992
23990,2,2827,6.926743068991285,0.3650759013887967,199.96560167511572,2.596955865910594
23990,3,1543,5.14609788315767,0.20008548924126493,78.96893550252719,1.0255705909419115
23990,4,572,6.96818701923785,0.7049855287215145,124.11706095948801,1.6119098825907534
23991,1,417,3.5820083465885633,0.20940588792299258,3793.484833743191,49.26603680185962
23991,2,1170,6.868302274061968,0.48564421100903665,103.16698125675805,1.3398309254124423
23991,3,604,4.2442669487322995,0.2739077278798817,517321.459025686,6718.460506827091
23991,4,196,4.5941760758715535,0.6715333803946011,204.44286479045485,2.655102140135777
23992,1,1958,3.6330144473364023,0.0909600239165799,1874577.976128909,24345.168521154665
23992,2,6076,6.9023886121187426,0.2389679136767066,241.32744249058152,3.1341226297478118
23992,3,3536,4.9137610927918836,0.13538876495876845,249.17601735307267,3.236052173416528
23992,4,1182,7.53905456054723,0.5580922592148829,106.66427852736938,1.3852503704853165
23993,1,2330,4.119572149042731,0.06775965018474259,14507.661401230487,188.41118702896736
23993,2,7141,6.65155541414088,0.18998457634809413,552.0661645060214,7.169690448130148
23993,3,4023,5.011882627515983,0.15109130747149424,199.49795342408783,2.5908825120011407
23993,4,1366,7.21219320719005,0.5277569037239963,114.26403133192082,1.4839484588561145
23994,1,2741,3.969848176545665,0.12465963383354435,664631.1015023218,8631.5727467834
23994,2,8598,6.92138251145126,0.18768550713913604,224.38988296187122,2.9141543241801457
23994,3,4937,4.911378949717159,0.1523928905519631,2038.5162706693138,26.47423728141966
23994,4,1562,7.224664514487861,0.4351660689604021,108.35493576001417,1.407206957922262
23995,1,1757,3.9177573615556307,0.09386853865267464,324317564232.7161,4211916418.606703
23995,2,5547,7.144194778568888,0.21901594118159562,180.83853748464276,2.3485524348654905
23995,3,3128,4.9792054944619695,0.11808655679511683,3984.4394456546656,51.74596682668397
23995,4,1118,6.2751608555942155,0.47924018019881903,234.77491742627518,3.0490249016399376
23996,1,1839,3.687274029798969,0.08994702032232114,14556.310792081342,189.04299729975767
23996,2,5758,6.680674113013775,0.27708761398246406,316.2351342732797,4.106949795756879
23996,3,3267,4.603723841633693,0.1376835087573191,3002.074711276259,38.98798326332804
23996,4,1092,7.028932714595617,0.5363103592527692,104.4742688775886,1.3568086867219298
23998,1,1172,3.818948686345673,0.1245213809616831,16769.8310236822,217.79001329457404
23998,2,3697,6.987730766342484,0.30570621656371255,118.45157677638224,1.5383321659270421
23998,3,2068,4.675471072137268,0.17117098542828088,152.0524584854873,1.9747072530582768
23998,4,711,7.0961581253687775,0.5720526673177627,74.31527288182295,0.9651334140496487
